Long;Lat;Row;Column;Square;NOR_Squares
4,5;62,25;53;F4;53F4;0
5,5;62,25;53;F5;53F5;0
6,5;62,25;53;F6;53F6;0
7,5;62,25;53;F7;53F7;0
8,5;62,25;53;F8;53F8;0
9,5;62,25;53;F9;53F9;0
10,5;62,25;53;G0;53G0;0
11,5;62,25;53;G1;53G1;0
12,5;62,25;53;G2;53G2;0
13,5;62,25;53;G3;53G3;0
14,5;62,25;53;G4;53G4;0
15,5;62,25;53;G5;53G5;0
-4,5;62,75;54;E5;54E5;0
-3,5;62,75;54;E6;54E6;0
-2,5;62,75;54;E7;54E7;0
-1,5;62,75;54;E8;54E8;0
-0,5;62,75;54;E9;54E9;0
0,5;62,75;54;F0;54F0;0
1,5;62,75;54;F1;54F1;0
2,5;62,75;54;F2;54F2;0
3,5;62,75;54;F3;54F3;0
4,5;62,75;54;F4;54F4;0
5,5;62,75;54;F5;54F5;0
6,5;62,75;54;F6;54F6;0
7,5;62,75;54;F7;54F7;0
8,5;62,75;54;F8;54F8;0
9,5;62,75;54;F9;54F9;0
10,5;62,75;54;G0;54G0;0
11,5;62,75;54;G1;54G1;0
12,5;62,75;54;G2;54G2;0
13,5;62,75;54;G3;54G3;0
14,5;62,75;54;G4;54G4;0
15,5;62,75;54;G5;54G5;0
